"Gene ID","Transcript","# exons","Transcript length","Protein length"
"cgd2_1730","cgd2_1730-RA","1","1227","408"
"cgd2_1740","cgd2_1740-RA","1","2409","802"
"cgd2_1745","cgd2_1745-RA","1","85","N/A"
"cgd2_1750","cgd2_1750-RA","1","1449","482"
"cgd2_1760","cgd2_1760-RA","1","1139","334"
"cgd2_1770","cgd2_1770-RA","1","1278","425"
"cgd2_1780","cgd2_1780-RA","1","1317","438"
"cgd2_1790","cgd2_1790-RA","1","3120","1039"
"cgd2_180","cgd2_180-RA","1","603","200"
"cgd2_1800","cgd2_1800-RA","1","1315","280"
"cgd2_1820","cgd2_1820-RA","2","603","200"
"cgd2_1823","cgd2_1823-RA","2","496","63"
"cgd2_1830","cgd2_1830-RA","2","1146","381"
"cgd2_1840","cgd2_1840-RA","1","1548","515"
"cgd2_1850","cgd2_1850-RA","1","981","326"
"cgd2_1860","cgd2_1860-RA","1","3741","1246"
"cgd2_1870","cgd2_1870-RA","1","942","313"
"cgd2_1880","cgd2_1880-RA","1","348","115"
"cgd2_1890","cgd2_1890-RA","1","705","234"
"cgd2_190","cgd2_190-RA","1","411","136"
"cgd2_1900","cgd2_1900-RA","1","1008","335"
"cgd2_1910","cgd2_1910-RA","1","1605","534"
"cgd2_1920","cgd2_1920-RA","1","3423","1140"
"cgd2_1930","cgd2_1930-RA","1","498","165"
"cgd2_1940","cgd2_1940-RA","2","660","219"
"cgd2_1950","cgd2_1950-RA","1","1980","659"
"cgd2_1960","cgd2_1960-RA","1","2133","710"
"cgd2_1970","cgd2_1970-RA","1","2889","963"
"cgd2_1980","cgd2_1980-RA","1","1113","370"
"cgd2_1990","cgd2_1990-RA","1","702","233"
"cgd2_20","cgd2_20-RA","1","2049","673"
"cgd2_200","cgd2_200-RA","1","972","310"
"cgd2_2000","cgd2_2000-RA","2","997","265"
"cgd2_2010","cgd2_2010-RA","1","804","267"
"cgd2_2020","cgd2_2020-RA","1","618","205"
"cgd2_2030","cgd2_2030-RA","2","631","206"
"cgd2_2040","cgd2_2040-RA","1","1221","406"
"cgd2_2050","cgd2_2050-RA","1","867","259"
"cgd2_2060","cgd2_2060-RA","1","2130","709"
"cgd2_2070","cgd2_2070-RA","1","1578","525"
"cgd2_2080","cgd2_2080-RA","3","1046","310"
"cgd2_2090","cgd2_2090-RA","3","3259","1037"
"cgd2_210","cgd2_210-RA","1","1741","416"
"cgd2_2100","cgd2_2100-RA","2","645","205"
"cgd2_2110","cgd2_2110-RA","1","567","188"
"cgd2_2120","cgd2_2120-RA","1","297","95"
"cgd2_2130","cgd2_2130-RA","1","4281","1426"
"cgd2_2140","cgd2_2140-RA","1","5457","1818"
"cgd2_2150","cgd2_2150-RA","1","408","135"
"cgd2_2160","cgd2_2160-RA","1","2880","959"
"cgd2_2170","cgd2_2170-RA","1","1689","562"
"cgd2_2180","cgd2_2180-RA","1","351","116"
"cgd2_2190","cgd2_2190-RA","1","1242","402"
"cgd2_220","cgd2_220-RA","1","1724","472"
"cgd2_2200","cgd2_2200-RA","1","306","96"
"cgd2_2210","cgd2_2210-RA","1","1212","403"
"cgd2_2220","cgd2_2220-RA","1","855","284"
"cgd2_2230","cgd2_2230-RA","1","2502","833"
"cgd2_2240","cgd2_2240-RA","1","1386","461"
"cgd2_2250","cgd2_2250-RA","2","495","106"
"cgd2_2260","cgd2_2260-RA","1","2034","677"
"cgd2_2270","cgd2_2270-RA","1","1038","345"
"cgd2_2280","cgd2_2280-RA","1","1680","559"
"cgd2_2290","cgd2_2290-RA","1","924","307"
"cgd2_230","cgd2_230-RA","1","5048","1596"
"cgd2_2300","cgd2_2300-RA","1","1464","487"
"cgd2_2310","cgd2_2310-RA","1","1635","544"
"cgd2_2320","cgd2_2320-RA","1","5061","1686"
"cgd2_2330","cgd2_2330-RA","1","507","168"
"cgd2_2340","cgd2_2340-RA","1","4959","1652"
"cgd2_2350","cgd2_2350-RA","1","1716","571"
"cgd2_2360","cgd2_2360-RA","1","5907","1968"
"cgd2_2370","cgd2_2370-RA","1","405","134"
"cgd2_2380","cgd2_2380-RA","1","966","321"
"cgd2_2390","cgd2_2390-RA","1","1011","336"
"cgd2_240","cgd2_240-RA","1","867","288"
"cgd2_2400","cgd2_2400-RA","1","3876","1291"
"cgd2_2410","cgd2_2410-RA","1","468","155"
"cgd2_2420","cgd2_2420-RA","1","1446","481"
"cgd2_2430","cgd2_2430-RA","2","957","318"
"cgd2_2440","cgd2_2440-RA","2","393","93"
"cgd2_2450","cgd2_2450-RA","1","504","167"
"cgd2_2460","cgd2_2460-RA","2","586","190"
"cgd2_2470","cgd2_2470-RA","1","705","234"
"cgd2_2480","cgd2_2480-RA","1","1419","472"
"cgd2_2490","cgd2_2490-RA","1","885","294"
"cgd2_250","cgd2_250-RA","1","393","130"
"cgd2_2500","cgd2_2500-RA","2","1695","556"
"cgd2_2510","cgd2_2510-RA","1","2295","764"
"cgd2_2520","cgd2_2520-RA","1","832","191"
"cgd2_2523","cgd2_2523-RA","6","751","217"
"cgd2_2530","cgd2_2530-RA","1","1029","342"
"cgd2_2533","cgd2_2533-RA","3","408","135"
"cgd2_2540","cgd2_2540-RA","1","327","101"
"cgd2_2550","cgd2_2550-RA","1","5610","1869"
"cgd2_2560","cgd2_2560-RA","1","2976","753"
"cgd2_2570","cgd2_2570-RA","1","799","180"
"cgd2_2580","cgd2_2580-RA","1","6960","2319"
"cgd2_2590","cgd2_2590-RA","1","384","127"
"cgd2_260","cgd2_260-RA","1","1037","218"
"cgd2_2600","cgd2_2600-RA","3","1394","361"
"cgd2_2610","cgd2_2610-RA","1","7839","2612"
"cgd2_2620","cgd2_2620-RA","1","1800","599"
"cgd2_2630","cgd2_2630-RA","1","1971","656"
"cgd2_2640","cgd2_2640-RA","1","558","185"
"cgd2_2650","cgd2_2650-RA","1","1257","418"
"cgd2_2660","cgd2_2660-RA","1","1293","430"
"cgd2_2670","cgd2_2670-RA","1","1245","414"
"cgd2_2680","cgd2_2680-RA","1","4305","1434"
"cgd2_2690","cgd2_2690-RA","1","618","203"
"cgd2_270","cgd2_270-RA","1","2081","545"
"cgd2_2700","cgd2_2700-RA","1","1488","495"
"cgd2_2710","cgd2_2710-RA","1","1653","546"
"cgd2_2720","cgd2_2720-RA","1","3012","1003"
"cgd2_2730","cgd2_2730-RA","1","3489","1162"
"cgd2_2740","cgd2_2740-RA","5","1620","393"
"cgd2_2750","cgd2_2750-RA","1","4050","1349"
"cgd2_2760","cgd2_2760-RA","1","2273","681"
"cgd2_2770","cgd2_2770-RA","1","6555","2184"
"cgd2_2780","cgd2_2780-RA","1","1122","373"
"cgd2_2790","cgd2_2790-RA","1","1099","340"
"cgd2_280","cgd2_280-RA","1","618","205"
"cgd2_2800","cgd2_2800-RA","1","843","280"
"cgd2_2810","cgd2_2810-RA","1","693","230"
"cgd2_2820","cgd2_2820-RA","3","457","142"
"cgd2_2830","cgd2_2830-RA","1","921","306"
"cgd2_2840","cgd2_2840-RA","1","3333","1104"
"cgd2_2850","cgd2_2850-RA","1","555","184"
"cgd2_2860","cgd2_2860-RA","1","570","189"
"cgd2_2870","cgd2_2870-RA","1","207","39"
"cgd2_2880","cgd2_2880-RA","1","1122","373"
"cgd2_2890","cgd2_2890-RA","1","897","298"
"cgd2_290","cgd2_290-RA","2","1486","391"
"cgd2_2900","cgd2_2900-RA","1","516","171"
"cgd2_2910","cgd2_2910-RA","1","3669","1003"
"cgd2_2920","cgd2_2920-RA","1","1103","308"
"cgd2_2930","cgd2_2930-RA","1","1649","546"
"cgd2_2940","cgd2_2940-RA","1","4955","1132"
"cgd2_2950","cgd2_2950-RA","1","6889","2162"
"cgd2_2960","cgd2_2960-RA","1","1578","525"
"cgd2_2970","cgd2_2970-RA","2","537","178"
"cgd2_2980","cgd2_2980-RA","1","3303","1100"
"cgd2_30","cgd2_30-RA","1","1512","503"
"cgd2_300","cgd2_300-RA","1","3747","1248"
"cgd2_3000","cgd2_3000-RA","1","435","144"
"cgd2_3010","cgd2_3010-RA","1","2244","747"
"cgd2_3020","cgd2_3020-RA","1","528","175"
"cgd2_3030","cgd2_3030-RA","1","2115","704"
"cgd2_3040","cgd2_3040-RA","1","495","164"
"cgd2_3050","cgd2_3050-RA","1","429","142"
"cgd2_3060","cgd2_3060-RA","2","721","228"
"cgd2_3070","cgd2_3070-RA","1","549","182"
"cgd2_3080","cgd2_3080-RA","1","1344","391"
"cgd2_3090","cgd2_3090-RA","1","2459","532"
"cgd2_310","cgd2_310-RA","1","1350","449"
"cgd2_3100","cgd2_3100-RA","2","1633","510"
"cgd2_3110","cgd2_3110-RA","1","3123","1040"
"cgd2_3120","cgd2_3120-RA","1","2058","592"
"cgd2_3130","cgd2_3130-RA","1","1260","419"
"cgd2_3140","cgd2_3140-RA","1","2334","777"
"cgd2_3150","cgd2_3150-RA","1","1977","658"
"cgd2_3160","cgd2_3160-RA","2","634","209"
"cgd2_3170","cgd2_3170-RA","1","2037","678"
"cgd2_3180","cgd2_3180-RA","3","1242","345"
"cgd2_3190","cgd2_3190-RA","1","1714","355"
"cgd2_320","cgd2_320-RA","2","405","106"
"cgd2_3200","cgd2_3200-RA","1","1704","567"
"cgd2_3210","cgd2_3210-RA","2","1163","357"
"cgd2_3220","cgd2_3220-RA","1","2113","377"
"cgd2_3230","cgd2_3230-RA","1","1806","601"
"cgd2_3240","cgd2_3240-RA","1","1254","414"
"cgd2_3250","cgd2_3250-RA","1","3263","960"
"cgd2_3260","cgd2_3260-RA","1","1707","568"
"cgd2_3270","cgd2_3270-RA","1","2013","670"
"cgd2_3280","cgd2_3280-RA","1","375","124"
"cgd2_3290","cgd2_3290-RA","1","1701","566"
"cgd2_330","cgd2_330-RA","1","1608","535"
"cgd2_3300","cgd2_3300-RA","1","1713","570"
"cgd2_3310","cgd2_3310-RA","1","2790","823"
"cgd2_3320","cgd2_3320-RA","1","2460","816"
"cgd2_3330","cgd2_3330-RA","1","2784","927"
"cgd2_3340","cgd2_3340-RA","1","2322","773"
"cgd2_3350","cgd2_3350-RA","1","1184","288"
"cgd2_3360","cgd2_3360-RA","1","3024","1007"
"cgd2_3370","cgd2_3370-RA","3","828","275"
"cgd2_3380","cgd2_3380-RA","1","1560","519"
"cgd2_3390","cgd2_3390-RA","1","495","164"
"cgd2_340","cgd2_340-RA","1","3711","1236"
"cgd2_3400","cgd2_3400-RA","3","3118","816"
"cgd2_3403","cgd2_3403-RA","2","328","96"
"cgd2_3410","cgd2_3410-RA","1","549","182"
"cgd2_3420","cgd2_3420-RA","2","1197","398"
"cgd2_3430","cgd2_3430-RA","2","2680","840"
"cgd2_3440","cgd2_3440-RA","2","4810","1599"
"cgd2_3450","cgd2_3450-RA","1","1155","382"
"cgd2_3460","cgd2_3460-RA","1","2581","724"
"cgd2_3470","cgd2_3470-RA","1","1062","353"
"cgd2_3480","cgd2_3480-RA","1","2277","659"
"cgd2_3490","cgd2_3490-RA","1","3930","1275"
"cgd2_350","cgd2_350-RA","1","168","51"
"cgd2_3500","cgd2_3500-RA","1","2115","704"
"cgd2_3510","cgd2_3510-RA","1","1809","602"
"cgd2_3520","cgd2_3520-RA","1","948","315"
"cgd2_3530","cgd2_3530-RA","1","1626","541"
"cgd2_3540","cgd2_3540-RA","1","7338","2445"
"cgd2_3550","cgd2_3550-RA","1","2583","860"
"cgd2_3560","cgd2_3560-RA","1","1356","451"
"cgd2_3570","cgd2_3570-RA","1","1560","519"
"cgd2_3580","cgd2_3580-RA","1","1803","600"
"cgd2_3585","cgd2_3585-RA","1","112","N/A"
"cgd2_3590","cgd2_3590-RA","1","19740","6579"
"cgd2_360","cgd2_360-RA","1","2428","724"
"cgd2_3600","cgd2_3600-RA","1","4404","1467"
"cgd2_3610","cgd2_3610-RA","1","1278","279"
"cgd2_3620","cgd2_3620-RA","1","2871","956"
"cgd2_3630","cgd2_3630-RA","1","1968","492"
"cgd2_3640","cgd2_3640-RA","1","1662","553"
"cgd2_3645","cgd2_3645-RA","1","97","N/A"
"cgd2_3650","cgd2_3650-RA","1","972","323"
"cgd2_3660","cgd2_3660-RA","9","1451","483"
"cgd2_3670","cgd2_3670-RA","1","2194","694"
"cgd2_3680","cgd2_3680-RA","2","2254","710"
"cgd2_3690","cgd2_3690-RA","1","12240","3948"
"cgd2_370","cgd2_370-RA","1","943","273"
"cgd2_3700","cgd2_3700-RA","1","4896","1552"
"cgd2_3710","cgd2_3710-RA","1","1488","495"
"cgd2_3720","cgd2_3720-RA","3","501","167"
"cgd2_3730","cgd2_3730-RA","1","1161","268"
"cgd2_3740","cgd2_3740-RA","1","1389","462"
"cgd2_3750","cgd2_3750-RA","1","2238","745"
"cgd2_3760","cgd2_3760-RA","1","453","150"
"cgd2_3770","cgd2_3770-RA","1","1589","376"
"cgd2_3780","cgd2_3780-RA","5","1834","527"
"cgd2_3790","cgd2_3790-RA","1","315","104"
"cgd2_380","cgd2_380-RA","2","777","172"
"cgd2_3800","cgd2_3800-RA","1","1110","369"
"cgd2_3810","cgd2_3810-RA","1","1428","475"
"cgd2_3820","cgd2_3820-RA","1","327","108"
"cgd2_3830","cgd2_3830-RA","3","2110","685"
"cgd2_3840","cgd2_3840-RA","1","1080","359"
"cgd2_3850","cgd2_3850-RA","1","3570","1189"
"cgd2_3860","cgd2_3860-RA","1","1987","524"
"cgd2_3870","cgd2_3870-RA","1","5872","1928"
"cgd2_3880","cgd2_3880-RA","1","1494","497"
"cgd2_3890","cgd2_3890-RA","1","1257","398"
"cgd2_390","cgd2_390-RA","1","1783","155"
"cgd2_3900","cgd2_3900-RA","1","3726","1241"
"cgd2_3910","cgd2_3910-RA","3","336","106"
"cgd2_3913","cgd2_3913-RA","3","620","188"
"cgd2_3920","cgd2_3920-RA","1","4019","1235"
"cgd2_3930","cgd2_3930-RA","2","1157","362"
"cgd2_3940","cgd2_3940-RA","4","859","282"
"cgd2_3950","cgd2_3950-RA","1","973","247"
"cgd2_3960","cgd2_3960-RA","1","1934","493"
"cgd2_3970","cgd2_3970-RA","2","597","168"
"cgd2_3980","cgd2_3980-RA","1","2076","585"
"cgd2_3990","cgd2_3990-RA","1","1446","449"
"cgd2_40","cgd2_40-RA","1","1503","500"
"cgd2_400","cgd2_400-RA","1","585","194"
"cgd2_4000","cgd2_4000-RA","1","570","134"
"cgd2_4010","cgd2_4010-RA","1","1106","282"
"cgd2_4020","cgd2_4020-RA","1","1016","242"
"cgd2_4030","cgd2_4030-RA","1","2403","800"
"cgd2_4040","cgd2_4040-RA","1","4589","1476"
"cgd2_4050","cgd2_4050-RA","1","2639","821"
"cgd2_4060","cgd2_4060-RA","1","2355","742"
"cgd2_4070","cgd2_4070-RA","2","1150","304"
"cgd2_4080","cgd2_4080-RA","1","1755","362"
"cgd2_4090","cgd2_4090-RA","1","2096","662"
"cgd2_410","cgd2_410-RA","1","786","261"
"cgd2_4100","cgd2_4100-RA","1","348","115"
"cgd2_4103","cgd2_4103-RA","2","531","146"
"cgd2_4110","cgd2_4110-RA","1","2386","764"
"cgd2_4120","cgd2_4120-RA","1","519","172"
"cgd2_4130","cgd2_4130-RA","1","1023","340"
"cgd2_4140","cgd2_4140-RA","1","564","163"
"cgd2_4145","cgd2_4145-RA","1","72","N/A"
"cgd2_4150","cgd2_4150-RA","1","3446","392"
"cgd2_4160","cgd2_4160-RA","1","690","229"
"cgd2_4170","cgd2_4170-RA","1","360","119"
"cgd2_4175","cgd2_4175-RA","1","73","N/A"
"cgd2_4180","cgd2_4180-RA","1","468","155"
"cgd2_4190","cgd2_4190-RA","1","3465","1154"
"cgd2_420","cgd2_420-RA","1","618","205"
"cgd2_4200","cgd2_4200-RA","1","2088","440"
"cgd2_4210","cgd2_4210-RA","3","1478","475"
"cgd2_4220","cgd2_4220-RA","1","2811","936"
"cgd2_4230","cgd2_4230-RA","1","447","148"
"cgd2_4240","cgd2_4240-RA","1","4624","1488"
"cgd2_4250","cgd2_4250-RA","1","2262","753"
"cgd2_4260","cgd2_4260-RA","1","1368","221"
"cgd2_4270","cgd2_4270-RA","1","3774","1246"
"cgd2_4280","cgd2_4280-RA","1","1233","410"
"cgd2_4290","cgd2_4290-RA","1","951","274"
"cgd2_430","cgd2_430-RA","1","621","206"
"cgd2_4300","cgd2_4300-RA","1","636","211"
"cgd2_4310","cgd2_4310-RA","1","486","161"
"cgd2_4320","cgd2_4320-RA","1","1581","521"
"cgd2_4330","cgd2_4330-RA","3","537","139"
"cgd2_4340","cgd2_4340-RA","1","1822","563"
"cgd2_4350","cgd2_4350-RA","1","3965","1281"
"cgd2_4360","cgd2_4360-RA","1","1002","333"
"cgd2_4370","cgd2_4370-RA","1","1125","374"
"cgd2_4380","cgd2_4380-RA","1","1664","477"
"cgd2_440","cgd2_440-RA","1","405","134"
"cgd2_450","cgd2_450-RA","1","549","182"
"cgd2_470","cgd2_470-RA","1","4320","1359"
"cgd2_480","cgd2_480-RA","1","1416","471"
"cgd2_490","cgd2_490-RA","1","1137","378"
"cgd2_50","cgd2_50-RA","1","1500","499"
"cgd2_500","cgd2_500-RA","1","1428","475"
"cgd2_510","cgd2_510-RA","3","1138","365"
"cgd2_520","cgd2_520-RA","1","1182","308"
"cgd2_530","cgd2_530-RA","1","635","202"
"cgd2_540","cgd2_540-RA","1","1802","572"
"cgd2_550","cgd2_550-RA","1","1042","233"
"cgd2_560","cgd2_560-RA","1","7017","2338"
"cgd2_570","cgd2_570-RA","3","1483","232"
"cgd2_580","cgd2_580-RA","1","6830","2231"
"cgd2_590","cgd2_590-RA","2","1645","453"
"cgd2_60","cgd2_60-RA","1","4907","1541"
"cgd2_600","cgd2_600-RA","1","2031","567"
"cgd2_610","cgd2_610-RA","2","1113","294"
"cgd2_620","cgd2_620-RA","3","735","94"
"cgd2_630","cgd2_630-RA","1","1212","400"
"cgd2_640","cgd2_640-RA","1","1020","339"
"cgd2_650","cgd2_650-RA","1","2079","692"
"cgd2_660","cgd2_660-RA","1","1541","442"
"cgd2_670","cgd2_670-RA","1","1228","358"
"cgd2_680","cgd2_680-RA","1","5361","1786"
"cgd2_690","cgd2_690-RA","1","4086","1361"
"cgd2_70","cgd2_70-RA","1","5417","1587"
"cgd2_700","cgd2_700-RA","2","3345","1004"
"cgd2_710","cgd2_710-RA","1","974","269"
"cgd2_720","cgd2_720-RA","2","1586","346"
"cgd2_730","cgd2_730-RA","1","1224","407"
"cgd2_740","cgd2_740-RA","1","270","89"
"cgd2_750","cgd2_750-RA","1","1269","422"
"cgd2_760","cgd2_760-RA","1","1017","336"
"cgd2_770","cgd2_770-RA","2","1516","501"
"cgd2_773","cgd2_773-RA","3","421","123"
"cgd2_780","cgd2_780-RA","1","1101","366"
"cgd2_790","cgd2_790-RA","1","3744","1247"
"cgd2_80","cgd2_80-RA","1","4431","1476"
"cgd2_800","cgd2_800-RA","1","1815","604"
"cgd2_810","cgd2_810-RA","1","450","149"
"cgd2_820","cgd2_820-RA","1","649","112"
"cgd2_830","cgd2_830-RA","1","681","226"
"cgd2_840","cgd2_840-RA","2","627","206"
"cgd2_850","cgd2_850-RA","1","939","312"
"cgd2_860","cgd2_860-RA","1","747","210"
"cgd2_870","cgd2_870-RA","1","684","227"
"cgd2_880","cgd2_880-RA","1","2075","631"
"cgd2_883","cgd2_883-RA","3","321","106"
"cgd2_890","cgd2_890-RA","1","1350","408"
"cgd2_90","cgd2_90-RA","1","5151","1616"
"cgd2_900","cgd2_900-RA","1","1695","527"
"cgd2_910","cgd2_910-RA","1","1131","376"
"cgd2_920","cgd2_920-RA","1","3087","1026"
"cgd2_930","cgd2_930-RA","1","3042","1013"
"cgd2_940","cgd2_940-RA","1","3192","1063"
"cgd2_950","cgd2_950-RA","1","1314","437"
"cgd2_960","cgd2_960-RA","1","1833","610"
"cgd2_970","cgd2_970-RA","1","2310","769"
"cgd2_980","cgd2_980-RA","1","645","205"
"cgd2_990","cgd2_990-RA","1","1899","632"
"cgd3_10","cgd3_10-RA","1","3162","1053"
"cgd3_100","cgd3_100-RA","1","1194","397"
"cgd3_1000","cgd3_1000-RA","1","528","175"
"cgd3_1010","cgd3_1010-RA","1","792","251"
"cgd3_1020","cgd3_1020-RA","1","3539","1105"
"cgd3_1030","cgd3_1030-RA","1","1613","465"
"cgd3_1040","cgd3_1040-RA","2","526","174"
"cgd3_1050","cgd3_1050-RA","1","4131","1376"
"cgd3_1060","cgd3_1060-RA","1","597","198"
"cgd3_1073","cgd3_1073-RA","3","783","260"
"cgd3_1090","cgd3_1090-RA","1","1519","456"
"cgd3_110","cgd3_110-RA","1","2160","719"
"cgd3_1100","cgd3_1100-RA","1","1392","463"
"cgd3_1110","cgd3_1110-RA","1","11547","3835"
"cgd3_1120","cgd3_1120-RA","1","1704","557"
"cgd3_1130","cgd3_1130-RA","1","687","228"
"cgd3_1140","cgd3_1140-RA","1","921","306"
"cgd3_1150","cgd3_1150-RA","1","972","323"
"cgd3_1160","cgd3_1160-RA","1","1488","495"
"cgd3_1170","cgd3_1170-RA","1","1261","300"
"cgd3_1173","cgd3_1173-RA","1","7071","2292"
"cgd3_1180","cgd3_1180-RA","1","11607","3868"
"cgd3_120","cgd3_120-RA","1","687","228"
"cgd3_1200","cgd3_1200-RA","2","461","113"
"cgd3_1210","cgd3_1210-RA","1","1395","464"
"cgd3_1220","cgd3_1220-RA","1","873","290"
"cgd3_1230","cgd3_1230-RA","1","1110","369"
"cgd3_1240","cgd3_1240-RA","1","1371","456"
"cgd3_1250","cgd3_1250-RA","2","469","133"
"cgd3_1260","cgd3_1260-RA","1","801","266"
"cgd3_1270","cgd3_1270-RA","1","591","196"
"cgd3_1280","cgd3_1280-RA","1","2139","712"
"cgd3_1290","cgd3_1290-RA","1","1604","254"
"cgd3_130","cgd3_130-RA","1","1107","368"
"cgd3_1300","cgd3_1300-RA","1","945","167"
"cgd3_1310","cgd3_1310-RA","1","921","306"
"cgd3_1320","cgd3_1320-RA","1","600","199"
"cgd3_1330","cgd3_1330-RA","1","1545","514"
"cgd3_1340","cgd3_1340-RA","1","1767","588"
"cgd3_1350","cgd3_1350-RA","1","3072","1023"
"cgd3_1360","cgd3_1360-RA","1","882","287"
"cgd3_1370","cgd3_1370-RA","1","1467","488"
"cgd3_1380","cgd3_1380-RA","1","2275","652"
"cgd3_1383","cgd3_1383-RA","2","675","108"
"cgd3_1390","cgd3_1390-RA","1","2576","802"
"cgd3_140","cgd3_140-RA","1","4413","1470"
"cgd3_1400","cgd3_1400-RA","1","3984","1327"
"cgd3_1410","cgd3_1410-RA","1","333","110"
"cgd3_1420","cgd3_1420-RA","1","231","72"
"cgd3_1430","cgd3_1430-RA","2","662","190"
"cgd3_1440","cgd3_1440-RA","1","678","225"
"cgd3_1450","cgd3_1450-RA","1","1020","327"
"cgd3_1460","cgd3_1460-RA","1","1614","537"
"cgd3_1470","cgd3_1470-RA","1","945","314"
"cgd3_1480","cgd3_1480-RA","1","1827","608"
"cgd3_1490","cgd3_1490-RA","1","411","136"
"cgd3_150","cgd3_150-RA","1","1479","492"
"cgd3_1500","cgd3_1500-RA","4","1460","398"
"cgd3_1510","cgd3_1510-RA","1","996","331"
"cgd3_1520","cgd3_1520-RA","1","1770","589"
"cgd3_1530","cgd3_1530-RA","1","806","204"
"cgd3_1540","cgd3_1540-RA","1","4851","1616"
"cgd3_1550","cgd3_1550-RA","1","2677","817"
"cgd3_1560","cgd3_1560-RA","1","597","198"
"cgd3_1570","cgd3_1570-RA","1","489","162"
"cgd3_1580","cgd3_1580-RA","1","4164","1387"
"cgd3_1590","cgd3_1590-RA","1","2379","785"
"cgd3_160","cgd3_160-RA","1","2055","684"
"cgd3_1600","cgd3_1600-RA","1","1278","425"
"cgd3_1610","cgd3_1610-RA","1","2568","855"
"cgd3_1620","cgd3_1620-RA","1","1038","345"
"cgd3_1630","cgd3_1630-RA","1","561","162"
"cgd3_1640","cgd3_1640-RA","1","1371","456"
"cgd3_1650","cgd3_1650-RA","1","1627","463"
"cgd3_1660","cgd3_1660-RA","1","2027","276"
"cgd3_1680","cgd3_1680-RA","1","630","209"
"cgd3_1690","cgd3_1690-RA","1","990","329"
"cgd3_170","cgd3_170-RA","1","801","266"
"cgd3_1700","cgd3_1700-RA","1","2109","702"
"cgd3_1710","cgd3_1710-RA","1","903","300"
"cgd3_1720","cgd3_1720-RA","1","1904","272"
"cgd3_1730","cgd3_1730-RA","1","897","298"
"cgd3_1740","cgd3_1740-RA","1","1143","380"
"cgd3_1750","cgd3_1750-RA","1","849","282"
"cgd3_1760","cgd3_1760-RA","1","885","294"
"cgd3_1770","cgd3_1770-RA","1","1596","531"
"cgd3_1780","cgd3_1780-RA","1","1656","551"
"cgd3_1790","cgd3_1790-RA","1","3738","1124"
"cgd3_180","cgd3_180-RA","2","739","237"
"cgd3_1800","cgd3_1800-RA","1","2278","561"
"cgd3_1810","cgd3_1810-RA","1","1296","431"
"cgd3_1820","cgd3_1820-RA","1","2277","757"
"cgd3_1830","cgd3_1830-RA","1","3300","1099"
"cgd3_1840","cgd3_1840-RA","2","5593","1795"
"cgd3_1850","cgd3_1850-RA","1","1017","338"
"cgd3_1860","cgd3_1860-RA","1","1707","568"
"cgd3_1870","cgd3_1870-RA","1","504","167"
"cgd3_1880","cgd3_1880-RA","1","3429","1136"
"cgd3_1890","cgd3_1890-RA","1","2205","734"
"cgd3_190","cgd3_190-RA","2","2316","734"
"cgd3_1900","cgd3_1900-RA","1","876","291"
"cgd3_1910","cgd3_1910-RA","1","1374","457"
"cgd3_1920","cgd3_1920-RA","1","786","261"
"cgd3_1930","cgd3_1930-RA","1","987","328"
"cgd3_1940","cgd3_1940-RA","1","519","172"
"cgd3_1950","cgd3_1950-RA","4","481","68"
"cgd3_1960","cgd3_1960-RA","1","855","284"
"cgd3_1970","cgd3_1970-RA","1","800","118"
"cgd3_1980","cgd3_1980-RA","1","3683","943"
"cgd3_1990","cgd3_1990-RA","1","3096","1031"
"cgd3_20","cgd3_20-RA","1","1131","376"
"cgd3_200","cgd3_200-RA","1","1708","402"
"cgd3_2000","cgd3_2000-RA","1","2382","793"
"cgd3_2010","cgd3_2010-RA","2","3341","1089"
"cgd3_2013","cgd3_2013-RA","2","323","94"
"cgd3_2020","cgd3_2020-RA","1","1947","640"
"cgd3_2030","cgd3_2030-RA","1","1218","400"
"cgd3_2040","cgd3_2040-RA","1","2022","673"
"cgd3_2050","cgd3_2050-RA","1","942","313"
"cgd3_2060","cgd3_2060-RA","1","1482","320"
"cgd3_2070","cgd3_2070-RA","1","480","159"
"cgd3_2080","cgd3_2080-RA","1","5359","1779"
"cgd3_2083","cgd3_2083-RA","4","1110","345"
"cgd3_2090","cgd3_2090-RA","1","783","256"
"cgd3_210","cgd3_210-RA","1","5814","1937"
"cgd3_2100","cgd3_2100-RA","1","945","169"
"cgd3_2110","cgd3_2110-RA","1","1404","466"
"cgd3_2120","cgd3_2120-RA","1","6252","2083"
"cgd3_2130","cgd3_2130-RA","1","975","324"
"cgd3_2140","cgd3_2140-RA","1","1332","443"
"cgd3_2150","cgd3_2150-RA","1","744","247"
"cgd3_2160","cgd3_2160-RA","1","702","179"
"cgd3_2170","cgd3_2170-RA","2","759","252"
"cgd3_2180","cgd3_2180-RA","1","24732","8243"
"cgd3_2190","cgd3_2190-RA","1","1155","384"
"cgd3_220","cgd3_220-RA","1","1071","165"
"cgd3_2200","cgd3_2200-RA","1","756","251"
"cgd3_2210","cgd3_2210-RA","1","1455","473"
"cgd3_2220","cgd3_2220-RA","1","453","150"
"cgd3_2230","cgd3_2230-RA","1","639","212"
"cgd3_2240","cgd3_2240-RA","1","273","79"
"cgd3_2250","cgd3_2250-RA","2","294","94"
"cgd3_2260","cgd3_2260-RA","1","423","140"
