gene;start;end;state;chromosome;chr;color
cgd3_1540;419504;424354;Known function;3;chr3;2
cgd3_1550;424972;427648;Known function;3;chr3;2
cgd3_1560;428308;428904;Known function;3;chr3;2
cgd3_1570;430128;430616;Known function;3;chr3;2
cgd3_1580;432151;436314;Known function;3;chr3;2
cgd3_1590;436391;438769;Known function;3;chr3;2
cgd3_160;37073;39127;Unknown function;3;chr3;1
cgd3_1600;439824;441101;Unknown function;3;chr3;1
cgd3_1610;441585;444152;Known function;3;chr3;2
cgd3_1620;444967;446004;Known function;3;chr3;2
cgd3_1630;446200;446760;Unknown function;3;chr3;1
cgd3_1640;448055;449425;Unknown function;3;chr3;1
cgd3_1650;449885;451511;Known function;3;chr3;2
cgd3_1660;452780;454806;Unknown function;3;chr3;1
cgd3_1680;457025;457654;Unknown function;3;chr3;1
cgd3_1690;457903;458892;Unknown function;3;chr3;1
cgd3_170;39380;40180;Known function;3;chr3;2
cgd3_1700;460684;462792;Unknown function;3;chr3;1
cgd3_1710;463132;464034;Unknown function;3;chr3;1
cgd3_1720;464202;466105;Unknown function;3;chr3;1
cgd3_1730;467357;468253;Unknown function;3;chr3;1
cgd3_1740;468667;469809;Unknown function;3;chr3;1
cgd3_1750;470105;470953;Unknown function;3;chr3;1
cgd3_1760;471854;472738;Unknown function;3;chr3;1
cgd3_1770;473887;475482;Unknown function;3;chr3;1
cgd3_1780;476206;477861;Unknown function;3;chr3;1
cgd3_1790;478019;481756;Known function;3;chr3;2
cgd3_180;40303;41100;Known function;3;chr3;2
cgd3_1800;481973;484250;Known function;3;chr3;2
cgd3_1810;484831;486126;Known function;3;chr3;2
cgd3_1820;487048;489324;Known function;3;chr3;2
cgd3_1830;489375;492674;Unknown function;3;chr3;1
cgd3_1840;493024;498682;Unknown function;3;chr3;1
cgd3_1850;499426;500442;Known function;3;chr3;2
cgd3_1860;500706;502412;Known function;3;chr3;2
cgd3_1870;502484;502987;Known function;3;chr3;2
cgd3_1880;503548;506976;Known function;3;chr3;2
cgd3_1890;507106;509310;Known function;3;chr3;2
cgd3_190;41755;44147;Known function;3;chr3;2
cgd3_1900;510205;511080;Known function;3;chr3;2
cgd3_1910;511114;512487;Unknown function;3;chr3;1
cgd3_1920;512817;513602;Known function;3;chr3;2
cgd3_1930;514040;515026;Unknown function;3;chr3;1
cgd3_1940;515198;515716;Known function;3;chr3;2
cgd3_1950;516149;516783;Unknown function;3;chr3;1
cgd3_1960;516836;517690;Unknown function;3;chr3;1
cgd3_1970;517963;518762;Unknown function;3;chr3;1
cgd3_1980;518957;522639;Unknown function;3;chr3;1
cgd3_1990;523094;526189;Unknown function;3;chr3;1
cgd3_20;7861;8991;Unknown function;3;chr3;1
cgd3_200;44449;46156;Known function;3;chr3;2
cgd3_2000;526658;529039;Known function;3;chr3;2
cgd3_2010;529256;532644;Known function;3;chr3;2
cgd3_2013;533068;533622;Known function;3;chr3;2
cgd3_2020;533780;535726;Known function;3;chr3;2
cgd3_2030;536198;537415;Known function;3;chr3;2
cgd3_2040;537965;539986;Known function;3;chr3;2
cgd3_2050;539987;540928;Known function;3;chr3;2
cgd3_2060;541327;542808;Known function;3;chr3;2
cgd3_2070;543151;543630;Unknown function;3;chr3;1
cgd3_2080;544006;550854;Known function;3;chr3;2
cgd3_2083;544070;545374;Known function;3;chr3;2
cgd3_2090;551358;552140;Known function;3;chr3;2
cgd3_210;46248;52061;Known function;3;chr3;2
cgd3_2100;553404;554348;Known function;3;chr3;2
cgd3_2110;554464;555867;Known function;3;chr3;2
cgd3_2120;556690;562941;Known function;3;chr3;2
cgd3_2130;563197;564171;Unknown function;3;chr3;1
cgd3_2140;564188;565519;Unknown function;3;chr3;1
cgd3_2150;565930;566673;Known function;3;chr3;2
cgd3_2160;566812;567513;Known function;3;chr3;2
cgd3_2170;567762;568581;Known function;3;chr3;2
cgd3_2180;569407;594138;Known function;3;chr3;2
cgd3_2190;594185;595339;Known function;3;chr3;2
cgd3_220;52167;53237;Unknown function;3;chr3;1
cgd3_2200;595554;596309;Known function;3;chr3;2
cgd3_2210;596935;598389;Known function;3;chr3;2
cgd3_2220;598598;599050;Known function;3;chr3;2
cgd3_2230;599324;599962;Known function;3;chr3;2
cgd3_2240;600333;600605;Known function;3;chr3;2
cgd3_2250;600709;601164;Known function;3;chr3;2
cgd3_2260;601692;602114;Unknown function;3;chr3;1
cgd3_2270;602236;603885;Known function;3;chr3;2
cgd3_2280;604128;605783;Unknown function;3;chr3;1
cgd3_2293;606175;608946;Known function;3;chr3;2
cgd3_230;53934;62207;Known function;3;chr3;2
cgd3_2310;609053;609399;Known function;3;chr3;2
cgd3_2320;609498;612765;Known function;3;chr3;2
cgd3_2322;612589;614739;Known function;3;chr3;2
cgd3_2323;613367;613681;Unknown function;3;chr3;1
cgd3_2330;615236;617824;Known function;3;chr3;2
cgd3_2340;617860;618168;Known function;3;chr3;2
cgd3_2350;618155;619342;Known function;3;chr3;2
cgd3_2353;619410;619915;Known function;3;chr3;2
cgd3_2360;619937;625354;Known function;3;chr3;2
cgd3_2370;625724;626519;Known function;3;chr3;2
cgd3_2380;626669;627034;Unknown function;3;chr3;1
cgd3_2390;627134;628279;Known function;3;chr3;2
cgd3_240;62331;63342;Known function;3;chr3;2
cgd3_2400;628558;631188;Known function;3;chr3;2
cgd3_2410;631649;634774;Known function;3;chr3;2
cgd3_2423;635278;636779;Unknown function;3;chr3;1
cgd3_2440;636891;637352;Known function;3;chr3;2
cgd3_2450;637684;639213;Known function;3;chr3;2
cgd3_2460;639250;640435;Known function;3;chr3;2
cgd3_2470;640637;641281;Known function;3;chr3;2
cgd3_2480;641392;642816;Unknown function;3;chr3;1
cgd3_2490;642934;644100;Unknown function;3;chr3;1
cgd3_250;63982;67108;Known function;3;chr3;2
cgd3_2500;644295;645629;Known function;3;chr3;2
cgd3_2503;645565;646099;Unknown function;3;chr3;1
cgd3_2505;646339;646411;Unknown function;3;chr3;1
cgd3_2510;646437;647762;Known function;3;chr3;2
cgd3_2520;647837;649558;Known function;3;chr3;2
cgd3_2530;649635;650474;Known function;3;chr3;2
cgd3_2540;650605;651012;Known function;3;chr3;2
cgd3_2550;651402;652253;Known function;3;chr3;2
cgd3_2560;652326;653435;Known function;3;chr3;2
cgd3_2570;653435;654574;Known function;3;chr3;2
cgd3_2580;654831;656015;Known function;3;chr3;2
cgd3_2590;656068;657699;Known function;3;chr3;2
cgd3_260;67707;71406;Known function;3;chr3;2
cgd3_2600;657918;661523;Unknown function;3;chr3;1
cgd3_2610;661604;662179;Unknown function;3;chr3;1
cgd3_2620;662428;668136;Known function;3;chr3;2
cgd3_2630;668174;670933;Known function;3;chr3;2
cgd3_2640;671334;672644;Known function;3;chr3;2
cgd3_2650;672674;678037;Unknown function;3;chr3;1
cgd3_2660;678204;678815;Unknown function;3;chr3;1
cgd3_2670;678876;679375;Known function;3;chr3;2
cgd3_2680;679418;680029;Known function;3;chr3;2
cgd3_2690;680105;682000;Known function;3;chr3;2
cgd3_270;72411;75803;Unknown function;3;chr3;1
cgd3_2700;682066;682783;Known function;3;chr3;2
cgd3_2710;682956;685877;Known function;3;chr3;2
cgd3_2730;687215;690751;Known function;3;chr3;2
cgd3_2740;690777;692405;Known function;3;chr3;2
cgd3_2750;692540;693775;Known function;3;chr3;2
cgd3_2760;693980;695488;Known function;3;chr3;2
cgd3_2770;695522;698452;Known function;3;chr3;2
cgd3_2780;698463;701753;Known function;3;chr3;2
cgd3_2790;701911;704466;Known function;3;chr3;2
cgd3_280;76894;81213;Known function;3;chr3;2
cgd3_2800;704480;705070;Known function;3;chr3;2
cgd3_2810;705141;705875;Known function;3;chr3;2
cgd3_2820;705965;708436;Known function;3;chr3;2
cgd3_2830;708438;709322;Unknown function;3;chr3;1
cgd3_2840;709422;710252;Unknown function;3;chr3;1
cgd3_2843;710054;710653;Unknown function;3;chr3;1
cgd3_2850;710784;711893;Unknown function;3;chr3;1
cgd3_2860;712149;714149;Known function;3;chr3;2
cgd3_2870;714364;716697;Known function;3;chr3;2
cgd3_2880;716759;717532;Known function;3;chr3;2
cgd3_2890;717773;724912;Known function;3;chr3;2
cgd3_290;82411;84390;Unknown function;3;chr3;1
cgd3_2900;725143;727041;Known function;3;chr3;2
cgd3_2910;727091;727759;Unknown function;3;chr3;1
cgd3_2920;727870;728916;Known function;3;chr3;2
cgd3_2930;728935;730209;Known function;3;chr3;2
cgd3_2940;730362;731792;Known function;3;chr3;2
cgd3_2950;731899;732975;Known function;3;chr3;2
cgd3_2960;732982;741057;Unknown function;3;chr3;1
cgd3_2970;741512;745144;Unknown function;3;chr3;1
cgd3_2980;745200;748796;Known function;3;chr3;2
cgd3_2990;748868;752080;Unknown function;3;chr3;1
cgd3_30;9337;10665;Unknown function;3;chr3;1
cgd3_300;86603;88443;Known function;3;chr3;2
cgd3_3000;752199;753830;Known function;3;chr3;2
cgd3_3010;753863;761128;Unknown function;3;chr3;1
cgd3_3020;761774;762847;Known function;3;chr3;2
cgd3_3030;763047;764747;Known function;3;chr3;2
cgd3_3040;765322;766500;Known function;3;chr3;2
cgd3_3050;766669;767628;Unknown function;3;chr3;1
cgd3_3060;767862;771662;Known function;3;chr3;2
cgd3_3063;771758;773453;Unknown function;3;chr3;1
cgd3_3070;773383;775170;Known function;3;chr3;2
cgd3_3073;775151;776045;Known function;3;chr3;2
cgd3_3080;776127;779132;Known function;3;chr3;2
cgd3_3090;779133;781037;Known function;3;chr3;2
cgd3_310;89618;95254;Known function;3;chr3;2
cgd3_3100;781370;783205;Known function;3;chr3;2
cgd3_3110;783405;784676;Known function;3;chr3;2
cgd3_3120;784931;785938;Known function;3;chr3;2
cgd3_3130;786206;787686;Unknown function;3;chr3;1
cgd3_3140;787866;790270;Unknown function;3;chr3;1
cgd3_3150;790379;791035;Known function;3;chr3;2
cgd3_3160;791534;792469;Unknown function;3;chr3;1
cgd3_3170;792700;793851;Known function;3;chr3;2
cgd3_3180;794660;796687;Known function;3;chr3;2
cgd3_3190;797010;798977;Known function;3;chr3;2
cgd3_320;95291;96700;Known function;3;chr3;2
cgd3_3200;799471;800739;Known function;3;chr3;2
cgd3_3210;801269;803939;Known function;3;chr3;2
cgd3_3220;804433;805374;Known function;3;chr3;2
cgd3_3230;805371;810017;Known function;3;chr3;2
cgd3_3240;810153;810812;Known function;3;chr3;2
cgd3_3250;810755;811948;Known function;3;chr3;2
cgd3_3260;812076;812834;Unknown function;3;chr3;1
cgd3_3270;813044;813583;Known function;3;chr3;2
cgd3_3280;813951;815075;Unknown function;3;chr3;1
cgd3_3290;815170;815673;Unknown function;3;chr3;1
cgd3_330;97253;98107;Unknown function;3;chr3;1
cgd3_3300;816203;816562;Known function;3;chr3;2
cgd3_3310;816979;819138;Unknown function;3;chr3;1
cgd3_3315;819429;819500;Unknown function;3;chr3;1
cgd3_3320;819503;821275;Known function;3;chr3;2
cgd3_3330;821729;824620;Unknown function;3;chr3;1
cgd3_3340;825970;830307;Known function;3;chr3;2
cgd3_335;98492;98564;Unknown function;3;chr3;1
cgd3_3350;831092;833175;Unknown function;3;chr3;1
cgd3_3360;833311;835900;Known function;3;chr3;2
cgd3_3370;836478;841001;Unknown function;3;chr3;1
cgd3_3380;842264;844258;Known function;3;chr3;2
cgd3_3390;844337;848053;Known function;3;chr3;2
cgd3_340;98668;99792;Unknown function;3;chr3;1
cgd3_3400;848597;848929;Unknown function;3;chr3;1
cgd3_3410;849207;853817;Unknown function;3;chr3;1
cgd3_3420;853978;855174;Known function;3;chr3;2
cgd3_343;99666;99946;Unknown function;3;chr3;1
cgd3_3430;855744;861053;Known function;3;chr3;2
cgd3_3440;861731;863782;Known function;3;chr3;2
cgd3_3450;864278;865026;Unknown function;3;chr3;1
cgd3_3460;865133;866887;Known function;3;chr3;2
cgd3_3470;867619;868404;Known function;3;chr3;2
cgd3_3480;868396;876132;Known function;3;chr3;2
cgd3_3490;876908;879043;Unknown function;3;chr3;1
cgd3_350;100292;101125;Known function;3;chr3;2
cgd3_3500;879363;880412;Known function;3;chr3;2
cgd3_3510;880672;881037;Unknown function;3;chr3;1
cgd3_3520;881241;884060;Known function;3;chr3;2
cgd3_3533;885038;886066;Known function;3;chr3;2
cgd3_3550;886403;889750;Known function;3;chr3;2
cgd3_3560;890115;891932;Known function;3;chr3;2
cgd3_3570;892814;897439;Known function;3;chr3;2
cgd3_3580;897496;898854;Known function;3;chr3;2
cgd3_3583;899316;899634;Unknown function;3;chr3;1
cgd3_3590;900048;901961;Known function;3;chr3;2
cgd3_360;101820;102212;Unknown function;3;chr3;1
cgd3_3600;902328;903908;Known function;3;chr3;2
cgd3_3610;904632;906038;Known function;3;chr3;2
cgd3_3620;906689;911434;Unknown function;3;chr3;1
cgd3_3630;912082;913554;Unknown function;3;chr3;1
cgd3_3640;913771;916077;Known function;3;chr3;2
cgd3_3650;916427;917842;Known function;3;chr3;2
cgd3_3660;918663;919105;Known function;3;chr3;2
cgd3_3670;919484;920242;Known function;3;chr3;2
cgd3_3680;920684;922669;Known function;3;chr3;2
cgd3_3690;922671;924260;Known function;3;chr3;2
cgd3_370;102753;104443;Unknown function;3;chr3;1
cgd3_3700;924914;928112;Unknown function;3;chr3;1
cgd3_3710;928941;930581;Unknown function;3;chr3;1
cgd3_3720;931097;931417;Unknown function;3;chr3;1
cgd3_3730;931639;932007;Known function;3;chr3;2
cgd3_3740;932693;936502;Known function;3;chr3;2
cgd3_3750;937360;937836;Known function;3;chr3;2
cgd3_3760;938035;938991;Known function;3;chr3;2
cgd3_3770;940090;942225;Known function;3;chr3;2
cgd3_3780;942690;945116;Known function;3;chr3;2
cgd3_3790;945329;946488;Known function;3;chr3;2
cgd3_380;104162;107344;Unknown function;3;chr3;1
cgd3_3800;947306;948691;Known function;3;chr3;2
cgd3_3810;948772;949191;Known function;3;chr3;2
cgd3_3820;949723;952200;Known function;3;chr3;2
cgd3_3830;952513;954473;Known function;3;chr3;2
cgd3_3840;955802;959460;Known function;3;chr3;2
cgd3_3850;959837;961399;Known function;3;chr3;2
cgd3_3860;962253;963734;Known function;3;chr3;2
cgd3_3870;963908;965411;Unknown function;3;chr3;1
cgd3_3880;965793;968900;Known function;3;chr3;2
cgd3_3890;969037;969741;Known function;3;chr3;2
cgd3_390;108524;110812;Known function;3;chr3;2
cgd3_3900;970361;973384;Unknown function;3;chr3;1
cgd3_3910;973452;975605;Known function;3;chr3;2
cgd3_3920;976034;977593;Known function;3;chr3;2
cgd3_3930;978676;979448;Known function;3;chr3;2
cgd3_3940;979945;981602;Unknown function;3;chr3;1
cgd3_3950;981926;982825;Known function;3;chr3;2
cgd3_3960;983461;986418;Known function;3;chr3;2
cgd3_3970;987327;987866;Known function;3;chr3;2
cgd3_3980;988193;990592;Unknown function;3;chr3;1
cgd3_3990;990605;992134;Known function;3;chr3;2
cgd3_40;10839;12974;Known function;3;chr3;2
cgd3_400;111116;113851;Unknown function;3;chr3;1
cgd3_4000;992374;992736;Unknown function;3;chr3;1
cgd3_4010;992935;993672;Known function;3;chr3;2
cgd3_4020;994166;994954;Known function;3;chr3;2
cgd3_4030;996307;997071;Known function;3;chr3;2
cgd3_4040;997518;998475;Unknown function;3;chr3;1
cgd3_4050;998941;999975;Known function;3;chr3;2
cgd3_4060;1000231;1004184;Known function;3;chr3;2
cgd3_4070;1004377;1006628;Known function;3;chr3;2
cgd3_4080;1006514;1007542;Known function;3;chr3;2
cgd3_4090;1007867;1016503;Known function;3;chr3;2
cgd3_410;114509;119464;Known function;3;chr3;2
cgd3_4100;1016971;1017753;Known function;3;chr3;2
cgd3_4110;1018040;1020139;Known function;3;chr3;2
cgd3_4120;1020235;1020570;Unknown function;3;chr3;1
cgd3_4130;1021057;1023648;Unknown function;3;chr3;1
cgd3_4135;1024057;1024130;Unknown function;3;chr3;1
cgd3_4140;1024495;1028790;Known function;3;chr3;2
cgd3_4150;1029228;1031663;Known function;3;chr3;2
cgd3_4160;1031973;1033202;Known function;3;chr3;2
cgd3_4170;1033268;1037137;Known function;3;chr3;2
cgd3_4180;1037489;1041136;Known function;3;chr3;2
cgd3_4190;1041688;1045225;Known function;3;chr3;2
cgd3_420;120105;122780;Unknown function;3;chr3;1
cgd3_4200;1045394;1050100;Known function;3;chr3;2
cgd3_4210;1050208;1054263;Known function;3;chr3;2
cgd3_4220;1054379;1058727;Known function;3;chr3;2
cgd3_4230;1059044;1060720;Unknown function;3;chr3;1
cgd3_4240;1061028;1064369;Known function;3;chr3;2
cgd3_4250;1064572;1068479;Unknown function;3;chr3;1
cgd3_4260;1068879;1072397;Known function;3;chr3;2
cgd3_4270;1072579;1076109;Known function;3;chr3;2
cgd3_4280;1076475;1080285;Known function;3;chr3;2
cgd3_4290;1080771;1085237;Known function;3;chr3;2
cgd3_430;122821;136083;Known function;3;chr3;2
cgd3_4300;1085422;1086090;Known function;3;chr3;2
cgd3_4310;1086170;1088425;Known function;3;chr3;2
cgd3_4330;1089908;1091017;Known function;3;chr3;2
cgd3_4340;1092199;1092810;Unknown function;3;chr3;1
cgd3_4350;1093174;1094793;Known function;3;chr3;2
cgd3_4360;1095212;1096489;Known function;3;chr3;2
cgd3_440;136878;138215;Known function;3;chr3;2
cgd3_450;139340;140827;Known function;3;chr3;2
cgd3_453;140810;141421;Known function;3;chr3;2
cgd3_460;141730;142386;Known function;3;chr3;2
cgd3_470;142478;144082;Known function;3;chr3;2
cgd3_480;144713;145813;Unknown function;3;chr3;1
cgd3_483;145951;146884;Unknown function;3;chr3;1
cgd3_490;147172;148470;Known function;3;chr3;2
cgd3_50;14255;17881;Known function;3;chr3;2
cgd3_500;148958;150142;Known function;3;chr3;2
cgd3_510;150949;152118;Known function;3;chr3;2
cgd3_520;152635;154686;Known function;3;chr3;2
cgd3_530;155559;162416;Unknown function;3;chr3;1
cgd3_540;162614;164089;Known function;3;chr3;2
cgd3_550;164602;166083;Known function;3;chr3;2
cgd3_560;166501;168153;Unknown function;3;chr3;1
cgd3_570;169085;170428;Unknown function;3;chr3;1
cgd3_580;170792;172858;Unknown function;3;chr3;1
cgd3_590;173488;177009;Unknown function;3;chr3;1
cgd3_60;17922;18671;Unknown function;3;chr3;1
cgd3_600;177562;181851;Unknown function;3;chr3;1
cgd3_605;182378;182450;Unknown function;3;chr3;1
cgd3_610;182633;184460;Unknown function;3;chr3;1
cgd3_620;186592;187320;Unknown function;3;chr3;1
cgd3_630;186754;187701;Unknown function;3;chr3;1
cgd3_640;188831;191445;Known function;3;chr3;2
cgd3_650;191587;195326;Unknown function;3;chr3;1
cgd3_660;195659;198245;Unknown function;3;chr3;1
cgd3_665;198832;198951;Unknown function;3;chr3;1
cgd3_666;199405;199524;Unknown function;3;chr3;1
cgd3_667;200085;200204;Unknown function;3;chr3;1
cgd3_670;200540;202288;Unknown function;3;chr3;1
cgd3_680;202658;204189;Known function;3;chr3;2
cgd3_690;204252;209715;Known function;3;chr3;2
cgd3_693;209803;213934;Unknown function;3;chr3;1
cgd3_70;18835;19488;Unknown function;3;chr3;1
cgd3_710;213618;217580;Unknown function;3;chr3;1
cgd3_720;218067;253157;Known function;3;chr3;2
cgd3_730;254389;255648;Known function;3;chr3;2
cgd3_740;255929;256984;Unknown function;3;chr3;1
cgd3_750;257380;257964;Unknown function;3;chr3;1
cgd3_753;259796;260685;Unknown function;3;chr3;1
cgd3_760;260720;261238;Known function;3;chr3;2
cgd3_770;261918;263036;Known function;3;chr3;2
cgd3_780;263186;264559;Known function;3;chr3;2
cgd3_790;264787;266397;Unknown function;3;chr3;1
cgd3_80;19612;21099;Known function;3;chr3;2
cgd3_800;266722;267534;Known function;3;chr3;2
cgd3_810;267695;270655;Unknown function;3;chr3;1
cgd3_820;271495;271923;Unknown function;3;chr3;1
cgd3_830;274210;274590;Known function;3;chr3;2
cgd3_840;274806;276119;Known function;3;chr3;2
cgd3_850;276494;277429;Unknown function;3;chr3;1
cgd3_860;277955;278524;Known function;3;chr3;2
cgd3_865;278955;279026;Unknown function;3;chr3;1
cgd3_870;279294;280141;Known function;3;chr3;2
cgd3_880;280483;280893;Unknown function;3;chr3;1
cgd3_890;281372;282713;Known function;3;chr3;2
cgd3_90;22028;24250;Unknown function;3;chr3;1
cgd3_900;282501;283145;Known function;3;chr3;2
cgd3_910;283644;284480;Unknown function;3;chr3;1
cgd3_920;285974;287590;Known function;3;chr3;2
cgd3_923;288016;288788;Unknown function;3;chr3;1
cgd3_930;288730;289751;Known function;3;chr3;2
cgd3_940;289618;290244;Unknown function;3;chr3;1
cgd3_950;290983;293103;Known function;3;chr3;2
cgd3_960;293124;293684;Unknown function;3;chr3;1
cgd3_970;294291;294764;Unknown function;3;chr3;1
cgd3_980;294997;296356;Known function;3;chr3;2
cgd3_990;296534;297600;Known function;3;chr3;2
cgd4_10;1452;1934;Unknown function;4;chr4;1
cgd4_100;24378;25450;Known function;4;chr4;2
cgd4_1000;269037;269498;Unknown function;4;chr4;1
cgd4_1010;270169;275757;Known function;4;chr4;2
cgd4_1020;275725;278476;Known function;4;chr4;2
cgd4_1030;279257;280315;Known function;4;chr4;2
cgd4_1040;280700;282781;Known function;4;chr4;2
cgd4_1070;283699;284403;Known function;4;chr4;2
cgd4_1080;284544;286583;Known function;4;chr4;2
cgd4_1090;286946;287479;Known function;4;chr4;2
cgd4_110;25464;27320;Known function;4;chr4;2
cgd4_1100;288103;289770;Known function;4;chr4;2
cgd4_1103;289950;290438;Unknown function;4;chr4;1
cgd4_1110;291938;295417;Known function;4;chr4;2
cgd4_1120;296292;297641;Known function;4;chr4;2
cgd4_1130;298153;299217;Known function;4;chr4;2
cgd4_1133;299271;299791;Unknown function;4;chr4;1
cgd4_1140;300413;301342;Known function;4;chr4;2
cgd4_1150;301687;302403;Unknown function;4;chr4;1
cgd4_1160;302505;304313;Known function;4;chr4;2
cgd4_1170;304918;306608;Known function;4;chr4;2
cgd4_1180;306914;307246;Unknown function;4;chr4;1
cgd4_1190;307629;308036;Unknown function;4;chr4;1
cgd4_120;27620;29347;Known function;4;chr4;2
cgd4_1200;308058;309026;Known function;4;chr4;2
cgd4_1210;309668;311083;Known function;4;chr4;2
cgd4_1220;311572;312363;Known function;4;chr4;2
cgd4_123;29322;30151;Unknown function;4;chr4;1
cgd4_1230;312998;313381;Known function;4;chr4;2
cgd4_1240;313823;316591;Unknown function;4;chr4;1
cgd4_1250;317805;318110;Unknown function;4;chr4;1
cgd4_1260;318148;318624;Known function;4;chr4;2
cgd4_1270;318625;319461;Known function;4;chr4;2
cgd4_1283;320037;320957;Known function;4;chr4;2
cgd4_130;30523;32928;Known function;4;chr4;2
cgd4_1300;320921;322615;Unknown function;4;chr4;1
cgd4_1310;323392;325185;Known function;4;chr4;2
cgd4_1320;325591;327996;Known function;4;chr4;2
cgd4_1330;328575;331034;Known function;4;chr4;2
cgd4_1340;331046;333475;Known function;4;chr4;2
cgd4_1350;334303;337179;Known function;4;chr4;2
cgd4_1360;337443;339503;Known function;4;chr4;2
cgd4_1370;340098;344570;Known function;4;chr4;2
cgd4_1380;345027;349835;Known function;4;chr4;2
cgd4_1390;350293;354861;Known function;4;chr4;2
cgd4_140;33039;37160;Known function;4;chr4;2
cgd4_1400;355829;357844;Known function;4;chr4;2
cgd4_1410;358133;358837;Unknown function;4;chr4;1
cgd4_1420;359027;360340;Known function;4;chr4;2
cgd4_1430;360966;362105;Known function;4;chr4;2
cgd4_1450;364148;366844;Unknown function;4;chr4;1
cgd4_1460;366901;367326;Unknown function;4;chr4;1
cgd4_1470;368103;371536;Known function;4;chr4;2
cgd4_1480;371628;375098;Known function;4;chr4;2
cgd4_1490;375151;376359;Known function;4;chr4;2
cgd4_150;37556;39023;Known function;4;chr4;2
cgd4_1500;377206;377583;Unknown function;4;chr4;1
cgd4_1510;377746;378504;Known function;4;chr4;2
cgd4_1513;378780;379391;Unknown function;4;chr4;1
cgd4_1520;380394;381455;Known function;4;chr4;2
cgd4_1530;382532;384061;Known function;4;chr4;2
cgd4_1540;385053;386394;Known function;4;chr4;2
cgd4_1543;386458;387276;Known function;4;chr4;2
cgd4_1555;388166;388237;Unknown function;4;chr4;1
cgd4_1556;387546;387617;Unknown function;4;chr4;1
cgd4_1560;388362;389616;Unknown function;4;chr4;1
cgd4_1570;389936;392199;Known function;4;chr4;2
cgd4_1580;392508;395543;Known function;4;chr4;2
cgd4_1590;397428;404896;Known function;4;chr4;2
cgd4_160;39095;39976;Unknown function;4;chr4;1
cgd4_1600;405598;409584;Unknown function;4;chr4;1
cgd4_1610;409604;411409;Known function;4;chr4;2
cgd4_1620;412359;414795;Unknown function;4;chr4;1
cgd4_1625;414730;414825;Unknown function;4;chr4;1
cgd4_1630;415490;416128;Unknown function;4;chr4;1
cgd4_1640;416315;418177;Unknown function;4;chr4;1
cgd4_1650;418453;419227;Known function;4;chr4;2
cgd4_1660;419490;419837;Known function;4;chr4;2
cgd4_1670;420130;420970;Unknown function;4;chr4;1
cgd4_1680;421504;422514;Known function;4;chr4;2
cgd4_1690;422712;427415;Known function;4;chr4;2
cgd4_170;40092;40415;Unknown function;4;chr4;1
cgd4_1700;427863;430303;Known function;4;chr4;2
cgd4_1710;430700;435100;Known function;4;chr4;2
cgd4_1720;435732;436985;Known function;4;chr4;2
cgd4_1730;437011;439686;Known function;4;chr4;2
cgd4_1740;440059;443136;Known function;4;chr4;2
cgd4_1750;443131;443463;Known function;4;chr4;2
cgd4_1760;443625;445610;Known function;4;chr4;2
cgd4_1770;445901;446629;Known function;4;chr4;2
cgd4_1780;447600;449033;Known function;4;chr4;2
cgd4_1790;449276;449983;Unknown function;4;chr4;1
cgd4_180;40500;44924;Known function;4;chr4;2
cgd4_1800;450307;450954;Unknown function;4;chr4;1
cgd4_1810;451155;451508;Unknown function;4;chr4;1
cgd4_1820;452593;454548;Unknown function;4;chr4;1
cgd4_1830;454845;455300;Known function;4;chr4;2
cgd4_1840;455563;458079;Known function;4;chr4;2
cgd4_1850;458367;460814;Known function;4;chr4;2
cgd4_1860;460939;463087;Unknown function;4;chr4;1
cgd4_1870;463174;463842;Unknown function;4;chr4;1
cgd4_1880;464580;468011;Unknown function;4;chr4;1
cgd4_1890;468305;471797;Known function;4;chr4;2
cgd4_190;45227;51526;Known function;4;chr4;2
cgd4_1900;472056;472487;Unknown function;4;chr4;1
cgd4_1910;472744;474189;Known function;4;chr4;2
cgd4_1920;474369;477346;Known function;4;chr4;2
cgd4_1930;477602;479056;Known function;4;chr4;2
cgd4_1940;479399;479920;Known function;4;chr4;2
cgd4_1950;480010;480744;Known function;4;chr4;2
cgd4_1960;480806;481918;Known function;4;chr4;2
cgd4_1970;482437;483111;Known function;4;chr4;2
cgd4_1980;483253;484332;Known function;4;chr4;2
cgd4_1990;484551;486072;Known function;4;chr4;2
cgd4_20;4410;5417;Unknown function;4;chr4;1
cgd4_200;52198;57699;Known function;4;chr4;2
cgd4_2000;486643;488106;Known function;4;chr4;2
cgd4_2010;488556;489986;Known function;4;chr4;2
cgd4_2020;490068;492417;Known function;4;chr4;2
cgd4_2025;492507;492591;Unknown function;4;chr4;1
cgd4_2030;492786;493415;Known function;4;chr4;2
cgd4_2032;493594;494740;Known function;4;chr4;2
cgd4_2033;494710;494975;Unknown function;4;chr4;1
cgd4_2040;495056;498181;Unknown function;4;chr4;1
cgd4_2053;498538;499599;Known function;4;chr4;2
cgd4_2070;499796;501109;Known function;4;chr4;2
cgd4_2080;501174;502253;Known function;4;chr4;2
cgd4_2090;502573;504324;Known function;4;chr4;2
cgd4_2093;504941;505341;Unknown function;4;chr4;1
cgd4_210;58004;59266;Known function;4;chr4;2
cgd4_2100;505714;507069;Known function;4;chr4;2
cgd4_2103;507143;507886;Unknown function;4;chr4;1
cgd4_2110;508103;510010;Known function;4;chr4;2
